City,Country,Region,County, Total_Population , White , % white , Black_African , %Black African , Asian , %Asian , Other_Ethnicity , % other_Ethinic , Total_NonWhite ,% non_white
Hyndburn,England,North West England,Lancashire," 87,277.00 "," 78,549.00 ",90%," 1,746.00 ",2%," 4,364.00 ",5%," 2,618.00 ",3%," 8,728.00 ",10%
Mid Devon,England,South West England,Devon," 86,345.00 "," 77,710.00 ",90%," 1,727.00 ",2%," 4,317.00 ",5%," 2,590.00 ",3%," 8,634.00 ",10%
Bolsover,England,East Midlands,Derbyshire," 85,204.00 "," 76,684.00 ",90%," 1,704.00 ",2%," 4,260.00 ",5%," 2,556.00 ",3%," 8,520.00 ",10%
Malvern Hills,England,West Midlands,Worcestershire," 84,918.00 "," 81,521.00 ",96%, 849.00 ,1%," 1,698.00 ",2%, 849.00 ,1%," 3,396.00 ",4%
Epsom and Ewell,England,South East England,Surrey," 84,298.00 "," 75,868.00 ",90%," 1,686.00 ",2%," 4,215.00 ",5%," 2,529.00 ",3%," 8,430.00 ",10%
Gosport,England,South East England,Hampshire," 82,719.00 "," 74,447.00 ",90%," 1,654.00 ",2%," 4,136.00 ",5%," 2,482.00 ",3%," 8,272.00 ",10%
Tamworth,England,West Midlands,Staffordshire," 81,912.00 "," 72,083.00 ",88%," 1,638.00 ",2%," 5,734.00 ",7%," 2,457.00 ",3%," 9,829.00 ",12%
Brentwood,England,South East England,Essex," 79,924.00 "," 71,932.00 ",90%," 1,598.00 ",2%," 3,996.00 ",5%," 2,398.00 ",3%," 7,992.00 ",10%
Inverclyde,Scotland,Scotland,Renfrewshire," 78,559.00 "," 70,703.00 ",90%," 1,571.00 ",2%," 3,928.00 ",5%," 2,357.00 ",3%," 7,856.00 ",10%
Rossendale,England,North West England,Lancashire," 73,929.00 "," 66,536.00 ",90%," 1,479.00 ",2%," 3,696.00 ",5%," 2,218.00 ",3%," 7,393.00 ",10%
Ceredigion,Wales,Wales,Dyfed," 72,351.00 "," 65,116.00 ",90%," 1,447.00 ",2%," 3,618.00 ",5%," 2,171.00 ",3%," 7,236.00 ",10%
Derbyshire Dales,England,East Midlands,Derbyshire," 71,950.00 "," 64,755.00 ",90%," 1,439.00 ",2%," 3,598.00 ",5%," 2,158.00 ",3%," 7,195.00 ",10%
Boston,England,East Midlands,Lincolnshire," 71,881.00 "," 64,693.00 ",90%," 1,438.00 ",2%," 3,594.00 ",5%," 2,156.00 ",3%," 7,188.00 ",10%
Torridge,England,South West England,Devon," 70,770.00 "," 63,693.00 ",90%," 1,415.00 ",2%," 3,538.00 ",5%," 2,123.00 ",3%," 7,076.00 ",10%
Maldon,England,South East England,Essex," 70,623.00 "," 63,561.00 ",90%," 1,412.00 ",2%," 3,531.00 ",5%," 2,119.00 ",3%," 7,062.00 ",10%
Isle of Anglesey,Wales,Wales,Gwynedd," 69,027.00 "," 62,124.00 ",90%," 1,381.00 ",2%," 3,451.00 ",5%," 2,071.00 ",3%," 6,903.00 ",10%
North Warwickshire,England,West Midlands,Warwickshire," 68,145.00 "," 64,738.00 ",95%, 681.00 ,1%," 2,044.00 ",3%, 681.00 ,1%," 3,406.00 ",5%
Blaenau Gwent,Wales,Wales,Gwent," 67,758.00 "," 60,982.00 ",90%," 1,355.00 ",2%," 3,388.00 ",5%," 2,033.00 ",3%," 6,776.00 ",10%
Ribble Valley,England,North West England,Lancashire," 67,592.00 "," 60,833.00 ",90%," 1,352.00 ",2%," 3,380.00 ",5%," 2,028.00 ",3%," 6,760.00 ",10%
Adur,England,South East England,West Sussex," 65,132.00 "," 58,619.00 ",90%," 1,303.00 ",2%," 3,257.00 ",5%," 1,954.00 ",3%," 6,514.00 ",10%
Oadby and Wigston,England,East Midlands,Leicestershire," 62,983.00 "," 39,049.00 ",62%," 1,889.00 ",3%," 19,525.00 ",31%," 2,519.00 ",4%," 23,933.00 ",38%
West Devon,England,South West England,Devon," 59,924.00 "," 53,932.00 ",90%," 1,198.00 ",2%," 2,996.00 ",5%," 1,798.00 ",3%," 5,992.00 ",10%
Merthyr Tydfil,Wales,Wales,Mid Glamorgan," 58,983.00 "," 53,085.00 ",90%," 1,180.00 ",2%," 2,949.00 ",5%," 1,769.00 ",3%," 5,898.00 ",10%
Melton,England,East Midlands,Leicestershire," 54,752.00 "," 50,919.00 ",93%, 548.00 ,1%," 2,190.00 ",4%," 1,095.00 ",2%," 3,833.00 ",7%
Clackmannanshire,Scotland,Scotland,Clackmannanshire," 52,233.00 "," 47,010.00 ",90%," 1,045.00 ",2%," 2,612.00 ",5%," 1,567.00 ",3%," 5,224.00 ",10%
Rutland,England,East Midlands,Rutland," 42,142.00 "," 39,613.00 ",94%, 421.00 ,1%," 1,686.00 ",4%, 421.00 ,1%," 2,528.00 ",6%
Na h-Eileanan Siar,Scotland,Scotland,Western Isles," 25,822.00 "," 23,240.00 ",90%, 516.00 ,2%," 1,291.00 ",5%, 775.00 ,3%," 2,582.00 ",10%
Shetland Islands,Scotland,Scotland,Shetland," 23,150.00 "," 20,835.00 ",90%, 463.00 ,2%," 1,158.00 ",5%, 694.00 ,3%," 2,315.00 ",10%
Orkney Islands,Scotland,Scotland,Orkney," 22,133.00 "," 19,920.00 ",90%, 443.00 ,2%," 1,107.00 ",5%, 664.00 ,3%," 2,214.00 ",10%
City of London,England,Greater London,Greater London," 16,700.00 "," 11,356.00 ",68%, 501.00 ,3%," 2,004.00 ",12%," 2,839.00 ",17%," 5,344.00 ",32%
Isles of Scilly,England,South West England,Cornwall," 2,395.00 "," 2,156.00 ",90%, 48.00 ,2%, 120.00 ,5%, 72.00 ,3%, 240.00 ,10%
